Translator,Field Name,KV NL Value,KV BEFR Value,Lengte KVNL,Lengte KV BEFR,Length difference,Untranslated?,Question to developer,Feedback/suggestion to translator,iOS Field Name,iOS Value,
Ans,home_page_test_url,https://storage.googleapis.com/shared_data/homepage/55/uat_kruidvat_homepage.json,https://storage.googleapis.com/shared_data/homepage/55/uat_kruidvat_homepage.json,81,81,100%,TRUE,,,,,
Ans,app__name,Sups verkoper,Vendeur Sups,13,12,92%,FALSE,to be translated?,,,,
Ans,app__id,2.94E+14,2.94E+14,8,8,100%,TRUE,,,,,
Ans,more_info_field_toddlers_gender__male,JONGEN,GARÇON,6,6,100%,FALSE,,,BabiesAndToddlerBoyText,JONGEN,
Ans,more_info_field_toddlers_gender__female,MEISJE,FILLE,6,5,83%,FALSE,,,BabiesAndToddlerGirlText,MEISJE,
Ans,product_no_brand_error,Niet meer beschikbaar,En rupture de stock,21,19,90%,FALSE,,,,,
Ans,digital_product_description,Je ontvangt dit product per mail,Vous allez recevoir ce produit par e-mail,32,41,128%,FALSE,,,DigitalTicket,Je ontvangt dit product per mail,
Ans,enter_password_hint,Vul jouw wachtwoord in,Saisissez votre mot de passe,22,28,127%,FALSE,,,,,
Ans,legal_information,Voorwaarden,Conditions,11,10,91%,FALSE,,,LegalInfo,Voorwaarden,
Ans,dialog_response_cancel,Annuleren,Annuler,9,7,78%,FALSE,,,,,
Ans,female,VROUW,FEMME,5,5,100%,FALSE,,,FemaleGender,VROUW,
Ans,male,MAN,HOMME,3,5,167%,FALSE,,,,,
Ans,please_login_to_your_account,Jouw inloggegevens,Votre login,18,11,61%,FALSE,,,TopLabelText,Jouw inloggegevens,
Ans,create_your_account,Vertel ons wie je bent,Qui êtes-vous ?,22,15,68%,FALSE,,"niet direct genoeg ? field name : create your account, dus het lijkt me echt een actie die je moet ondernemen. ""Qui êtes-vous ?"" / ... => heb het gewijzigd",TopLabelText,Vertel ons wie je bent,
Ans,fill_in_your_address,Wat is je adres,Quelle est votre adresse,15,24,160%,FALSE,,,TopLabelText,Wat is je adres,
Ans,activity__mandatory_update__download_now,NU DOWNLOADEN,TÉLÉCHARGER,13,11,85%,FALSE,,,Continue,NU DOWNLOADEN,
Ans,activity__mandatory_update__update_available,Update \nbeschikbaar,Mise à jour \ndisponible,20,24,120%,FALSE,,,,,
Ans,activity__maintain_mode_text,"Sorry, we zijn bezig met onderhoud. Kom je later terug?","Désolés, nous sommes en train d'entretenir l'application. Vous reviendrez plus tard ?",55,85,155%,FALSE,,,MaintenanceMode,"Sorry, we zijn bezig met onderhoud. Kom je later terug",
Ans,activity__contract_change__continue_button,"Oké, ik heb het begrepen!","D'accord, j'ai compris.",25,23,92%,FALSE,,,,,
Ans,activity__contract_change__contract__eula_content,$activity_contract_change_contract_terms_conditions_content,$activity_contract_change_contract_terms_conditions_content,59,59,100%,TRUE,,,,,
Ans,activity__contract_change__contract__privacy_notice_content,$activity_contract_change_contract_terms_conditions_content,$activity_contract_change_contract_terms_conditions_content,59,59,100%,TRUE,,,,,
Ans,activity__contract_change__contract__terms_conditions_content,"Ons Privacybeleid en de Privacyvoorkeuren zijn onlangs veranderd. Wil je je afmelden voor onze aanbiedingen, ga dan naar de <a href=https://www.kruidvat.nl/my-account/newsletter>Privacyvoorkeuren</a> en selecteer de opties waarvoor je je wilt afmelden. Doe je niets dan gaan we ervan uit dat je graag op de hoogte blijft van onze voordeelaanbiedingen!","Nous avons récemment modifié notre Politique de confidentialité et les Paramètres de confidentialité. Si vous ne souhaitez plus recevoir nos offres par e-mail, mofidiez les <a href=https://www.kruidvat.nl/my-account/newsletter>Paramètres de confidentialité</a> en sélectionnant les options que vous souhaitez désactiver. Si vous ne changez rien, nous supposons que vous souhaitiez rester au courant de nos promos !",351,414,118%,FALSE,"staat alles standaard aangevinkt en moet je vinkjes uitzetten, of moet je juist actief de dingen aanvinken die je wilt uitschakelen?
URL for Belgium","C > confidentialité 
vous vous souhaitiez > que vous souhaitiez",,,
Ans,activity__purchase__moderator_button_price__=,Koop nu %1$s,Acheter %1$s,12,12,100%,FALSE,,,,,
Ans,activity__purchase__moderator_button_price__calculating,Prijs wordt berekend,Calcul du prix en cours,20,23,115%,FALSE,,,,,
Ans,activity__purchase__favourite_store_button_add,Voeg je favoriete winkel toe,Ajoutez votre magasin préféré,28,29,104%,FALSE,,,LabelText,Voeg je favoriete winkel toe,
Ans,activity__purchase__order__order_details,Orderoverzicht,Total des commandes,14,19,136%,FALSE,,,,,
Ans,activity__purchase__order__home_delivery,Thisbezorging,Livraison à domicile,13,20,154%,FALSE,NL: Thuisbezorging,,HomeDelivery,Thuisbezorging,
Ans,activity__purchase__order__delivery_date,Bezorgdatum,Date de livraison,11,17,155%,FALSE,,,,,
Ans,activity__purchase__order__digital_products__=,Digitale producten,Produits numériques,18,19,106%,FALSE,,,InfoPopup,Digitale producten,
Ans,activity__purchase__order__digital_products__message,Dit product wordt verzonden naar jouw e-mailadres,Ce produit sera envoyé à votre adresse e-mail,49,45,92%,FALSE,,,DigitalTicketInfo,Dit product wordt verzonden naar jouw e-mailadres,
Ans,activity__purchase__order__delete_dialog_title,Verwijderen,Supprimer,11,9,82%,FALSE,,,,,
Ans,activity__purchase__order__checkout__summary,Overzicht,Aperçu,9,6,67%,FALSE,,,SummuryLabelText,OVERZICHT,
Ans,activity__purchase__order__checkout__price,Prijs,Prix,5,4,80%,FALSE,,,,,
Ans,activity__purchase__order__checkout__discount,Korting,Réduction,7,9,129%,FALSE,,,SavingsLabel,Korting,
